date,symbol,close,source,status
2026-09-09,BRLUSD=X,0.195921,yfinance,ok
2026-09-09,CHFUSD=X,1.236033,yfinance,ok
2026-09-09,EURUSD=X,1.163873,yfinance,ok
2026-09-09,EYDAP.AT,,yfinance-no-close-on-2026-09-09,missing
2026-09-09,GBPUSD=X,1.355142,yfinance,ok
2026-09-09,IWDA.L,146.559998,yfinance,ok
2026-09-09,LIGT3.SA,3.64,yfinance,ok
2026-09-09,SAPR11.SA,35.080002,yfinance,ok
2026-09-10,BRLUSD=X,0.195856,yfinance,ok
2026-09-10,CHFUSD=X,1.230254,yfinance,ok
2026-09-10,EURUSD=X,1.161305,yfinance,ok
2026-09-10,EYDAP.AT,,yfinance-no-close-on-2026-09-10,missing
2026-09-10,GBPUSD=X,1.351151,yfinance,ok
2026-09-10,IWDA.L,145.830002,yfinance,ok
2026-09-10,LIGT3.SA,3.75,yfinance,ok
2026-09-10,SAPR11.SA,35.810001,yfinance,ok
2026-09-11,BRLUSD=X,0.195111,yfinance,ok
2026-09-11,CHFUSD=X,1.22534,yfinance,ok
2026-09-11,EURUSD=X,1.160227,yfinance,ok
2026-09-11,EYDAP.AT,,yfinance-no-close-on-2026-09-11,missing
2026-09-11,GBPUSD=X,1.352887,yfinance,ok
2026-09-11,IWDA.L,146.960007,yfinance,ok
2026-09-11,LIGT3.SA,3.77,yfinance,ok
2026-09-11,SAPR11.SA,34.560001,yfinance,ok
2026-09-14,BRLUSD=X,0.194322,yfinance,ok
2026-09-14,CHFUSD=X,1.22471,yfinance,ok
2026-09-14,EURUSD=X,1.155402,yfinance,ok
2026-09-14,EYDAP.AT,,yfinance-no-close-on-2026-09-14,missing
2026-09-14,GBPUSD=X,1.34991,yfinance,ok
2026-09-14,IWDA.L,145.960007,yfinance,ok
2026-09-14,LIGT3.SA,3.75,yfinance,ok
2026-09-14,SAPR11.SA,34.740002,yfinance,ok
2026-09-15,BRLUSD=X,0.194047,yfinance,ok
2026-09-15,CHFUSD=X,1.222046,yfinance,ok
2026-09-15,EURUSD=X,1.154068,yfinance,ok
2026-09-15,EYDAP.AT,,yfinance-no-close-on-2026-09-15,missing
2026-09-15,GBPUSD=X,1.347491,yfinance,ok
2026-09-15,IWDA.L,145.210007,yfinance,ok
2026-09-15,LIGT3.SA,3.7,yfinance,ok
2026-09-15,SAPR11.SA,34.349998,yfinance,ok
2026-09-16,BRLUSD=X,0.194194,yfinance,ok
2026-09-16,CHFUSD=X,1.212004,yfinance,ok
2026-09-16,EURUSD=X,1.146526,yfinance,ok
2026-09-16,EYDAP.AT,,yfinance-no-close-on-2026-09-16,missing
2026-09-16,GBPUSD=X,1.338097,yfinance,ok
2026-09-16,IWDA.L,145.889999,yfinance,ok
2026-09-16,LIGT3.SA,3.62,yfinance,ok
2026-09-16,SAPR11.SA,34.099998,yfinance,ok
2026-09-17,BRLUSD=X,0.195145,yfinance,ok
2026-09-17,CHFUSD=X,1.213931,yfinance,ok
2026-09-17,EURUSD=X,1.148106,yfinance,ok
2026-09-17,EYDAP.AT,,yfinance-no-close-on-2026-09-17,missing
2026-09-17,GBPUSD=X,1.335863,yfinance,ok
2026-09-17,IWDA.L,146.220001,yfinance,ok
2026-09-17,LIGT3.SA,3.55,yfinance,ok
2026-09-17,SAPR11.SA,34.110001,yfinance,ok
2026-09-18,BRLUSD=X,0.194424,yfinance,ok
2026-09-18,CHFUSD=X,1.216826,yfinance,ok
2026-09-18,EURUSD=X,1.148897,yfinance,ok
2026-09-18,EYDAP.AT,,yfinance-no-close-on-2026-09-18,missing
2026-09-18,GBPUSD=X,1.339351,yfinance,ok
2026-09-18,IWDA.L,145.690002,yfinance,ok
2026-09-18,LIGT3.SA,3.62,yfinance,ok
2026-09-18,SAPR11.SA,34.509998,yfinance,ok
2026-09-21,BRLUSD=X,0.195595,yfinance,ok
2026-09-21,CHFUSD=X,1.218621,yfinance,ok
2026-09-21,EURUSD=X,1.146657,yfinance,ok
2026-09-21,EYDAP.AT,,yfinance-no-close-on-2026-09-21,missing
2026-09-21,GBPUSD=X,1.337041,yfinance,ok
2026-09-21,IWDA.L,147.460007,yfinance,ok
2026-09-21,LIGT3.SA,3.59,yfinance,ok
2026-09-21,SAPR11.SA,35.349998,yfinance,ok
2026-09-22,BRLUSD=X,0.19604,yfinance,ok
2026-09-22,CHFUSD=X,1.219988,yfinance,ok
2026-09-22,EURUSD=X,1.145082,yfinance,ok
2026-09-22,EYDAP.AT,,yfinance-no-close-on-2026-09-22,missing
2026-09-22,GBPUSD=X,1.334917,yfinance,ok
2026-09-22,IWDA.L,147.960007,yfinance,ok
2026-09-22,LIGT3.SA,3.6,yfinance,ok
2026-09-22,SAPR11.SA,34.810001,yfinance,ok
2026-09-23,BRLUSD=X,0.193558,yfinance,ok
2026-09-23,CHFUSD=X,1.213136,yfinance,ok
2026-09-23,EURUSD=X,1.138952,yfinance,ok
2026-09-23,EYDAP.AT,,yfinance-no-close-on-2026-09-23,missing
2026-09-23,GBPUSD=X,1.324661,yfinance,ok
2026-09-23,IWDA.L,147.009995,yfinance,ok
2026-09-23,LIGT3.SA,3.5,yfinance,ok
2026-09-23,SAPR11.SA,34.040001,yfinance,ok
